date_scraped,search_page_num,chemical_name,chemical_page
2019-12-11 06:45:09.387881,242,MELALEUCA VIRIDIFLORA OIL,https://www.ewg.org/skindeep/ingredients/726558-MELALEUCA_VIRIDIFLORA_OIL
2019-12-11 06:45:09.431306,242,ORIGANUM CAMPACTUM (WILD OREGANO),https://www.ewg.org/skindeep/ingredients/726575-ORIGANUM_CAMPACTUM_WILD_OREGANO
2019-12-11 06:45:09.480073,242,CINNAMOMUM ZEYLANICUM BARK,https://www.ewg.org/skindeep/ingredients/726653-CINNAMOMUM_ZEYLANICUM_BARK
2019-12-11 06:45:09.523994,242,TAGETES ERECTA (AZTEC MARIGOLD) OIL,https://www.ewg.org/skindeep/ingredients/726661-TAGETES_ERECTA_AZTEC_MARIGOLD_OIL
2019-12-11 06:45:09.568930,242,UNSPECIFIED THICKENER,https://www.ewg.org/skindeep/ingredients/726671-UNSPECIFIED_THICKENER
2019-12-11 06:45:09.607829,242,BRASSICA ALBA (WHITE MUSTARD) SEED,https://www.ewg.org/skindeep/ingredients/726687-BRASSICA_ALBA_WHITE_MUSTARD_SEED
2019-12-11 07:08:23.944572,243,C12-20 ALCOHOL,https://www.ewg.org/skindeep/ingredients/726689-C1220_ALCOHOL
2019-12-11 07:08:24.094686,243,Mahonia aquifolium (OREGON GRAPE) ROOT,https://www.ewg.org/skindeep/ingredients/726703-Mahonia_aquifolium_OREGON_GRAPE_ROOT
2019-12-11 07:08:24.552955,243,CHLOROPHYLLIN-MAGNESIUM COMPLEX,https://www.ewg.org/skindeep/ingredients/726709-CHLOROPHYLLINMAGNESIUM_COMPLEX
2019-12-11 07:08:24.619020,243,LAURYL METHACRYLATE/ SODIUM METHACRYLATE CROSSPOLYMER,https://www.ewg.org/skindeep/ingredients/726734-LAURYL_METHACRYLATESODIUM_METHACRYLATE_CROSSPOLYMER
2019-12-11 07:08:24.658996,243,LOTUS JAPONICUS EXTRACT,https://www.ewg.org/skindeep/ingredients/726814-LOTUS_JAPONICUS_EXTRACT
2019-12-11 07:08:24.700793,243,MELALEUCA QUINQUENERVIA OIL,https://www.ewg.org/skindeep/ingredients/727746-MELALEUCA_QUINQUENERVIA_OIL
2019-12-11 07:08:24.740588,243,4-METHYL-3-DECEN-5-OL,https://www.ewg.org/skindeep/ingredients/728243-4METHYL3DECEN5OL
2019-12-11 07:08:24.778335,243,PIMENTA RACEMOSA LEAF/ FRUIT OIL,https://www.ewg.org/skindeep/ingredients/728517-PIMENTA_RACEMOSA_LEAFFRUIT_OIL
2019-12-11 07:08:24.815378,243,gamma-VALEROLACTONE,https://www.ewg.org/skindeep/ingredients/728734-gammaVALEROLACTONE
2019-12-11 07:08:24.852317,243,ASTRAGALUS MEMBRANACEUS ROOT POWDER,https://www.ewg.org/skindeep/ingredients/729006-ASTRAGALUS_MEMBRANACEUS_ROOT_POWDER
2019-12-11 07:08:24.888165,243,CARTHAMUS TINCTORIUS FLOWER,https://www.ewg.org/skindeep/ingredients/729110-CARTHAMUS_TINCTORIUS_FLOWER
2019-12-11 07:08:24.927679,243,CITRUS AURANTIUM AMARA FRUIT EXTRACT,https://www.ewg.org/skindeep/ingredients/729188-CITRUS_AURANTIUM_AMARA_FRUIT_EXTRACT
2019-12-11 07:08:24.974571,243,HYDROLYZED SOY PROTEIN/ VEGETABLE AMINO ACIDS/ LYSINE HYDROXYPROPYLTRIMONIUM CHLORIDE,https://www.ewg.org/skindeep/ingredients/729461-HYDROLYZED_SOY_PROTEINVEGETABLE_AMINO_ACIDSLYSINE_HYDROXYPROPYLTRIMONIUM_CHLORIDE
2019-12-11 07:08:25.231699,243,HYDROLYZED FUCUS VESICULOSUS PROTEIN,https://www.ewg.org/skindeep/ingredients/729470-HYDROLYZED_FUCUS_VESICULOSUS_PROTEIN
2019-12-11 07:08:25.341724,243,LACTOBACILLUS/ MILK FERMENT LYSATE FILTRATE,https://www.ewg.org/skindeep/ingredients/729776-LACTOBACILLUSMILK_FERMENT_LYSATE_FILTRATE
2019-12-11 07:08:25.423789,243,LARREA TRIDENTATA EXTRACT,https://www.ewg.org/skindeep/ingredients/729815-LARREA_TRIDENTATA_EXTRACT
2019-12-11 07:08:25.472677,243,PRUNUS SALICINA FRUIT EXTRACT,https://www.ewg.org/skindeep/ingredients/729938-PRUNUS_SALICINA_FRUIT_EXTRACT
2019-12-11 07:08:25.513427,243,PRUNUS YEDOENSIS FLOWER EXTRACT,https://www.ewg.org/skindeep/ingredients/729947-PRUNUS_YEDOENSIS_FLOWER_EXTRACT
2019-12-11 07:08:25.555828,243,TRIPEPTIDE-5,https://www.ewg.org/skindeep/ingredients/730239-TRIPEPTIDE5
2019-12-11 07:08:25.594590,243,TAMARINDUS INDICA FRUIT EXTRACT,https://www.ewg.org/skindeep/ingredients/730285-TAMARINDUS_INDICA_FRUIT_EXTRACT
2019-12-11 07:08:25.637008,243,VISNAGA VERA FRUIT/ STEM EXTRACT,https://www.ewg.org/skindeep/ingredients/730300-VISNAGA_VERA_FRUITSTEM_EXTRACT
2019-12-11 07:08:25.678854,243,CUCUMIS SATIVUS (CUCUMBER) POWDER,https://www.ewg.org/skindeep/ingredients/732114-CUCUMIS_SATIVUS_CUCUMBER_POWDER
2019-12-11 07:08:25.723015,243,AMINOGUANIDINE,https://www.ewg.org/skindeep/ingredients/732117-AMINOGUANIDINE
2019-12-11 07:08:25.765139,243,BROUSSONETIA PAPYRIFERA (paper mulberry) FRUIT,https://www.ewg.org/skindeep/ingredients/732126-BROUSSONETIA_PAPYRIFERA_paper_mulberry_FRUIT
